TMA SUMMARY REPORT (DFTs),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
General,,,,,,,,
0,,,,,,,,
{},,,,,,,,
Slave Address 0x54,,,,,,,,
a0,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x02,7,TAI
95483466,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x02,0,tdi
83ff2716,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x02,1,tdi
a0,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x02,7,tdi
95483466,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x01,2,ten
d922ca5f,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x01,3,ten
913fa695,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x01,4,ten
83ff2716,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x01,5,ten
162b659f,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x01,6,ten
dft_hex0x11_ten,No desciption,dft_hex0x11,DFTtm8,0x54,0x11,0x01,7,ten
hijack_de422ccd,No desciption,dft_hex0x1F,DFTtm8t,0x54,0x1F,0x01,0,ten
hijacki_de422ccd,No desciption,dft_hex0x1F,DFTtm8t,0x54,0x1F,0x01,1,ten
dft_hex0x1F_ten,No desciption,dft_hex0x1F,DFTtm8t,0x54,0x1F,0x01,7,ten
"XWALTZ,XceleraCORE,XREGULATION,XMAIN",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
comparator_5c7dff44,No desciption,dft_hex0x12,DFTtm8t,0x54,0x12,0x01,0,ten
voltage2current_4215aede,No desciption,dft_hex0x12,DFTtm8t,0x54,0x12,0x01,1,ten
clamp_b8eb1a18,No desciption,dft_hex0x12,DFTtm8t,0x54,0x12,0x01,2,ten
vbuffer_866ca25c,No desciption,dft_hex0x12,DFTtm8t,0x54,0x12,0x01,3,ten
gm_e44d2b4d,No desciption,dft_hex0x12,DFTtm8t,0x54,0x12,0x01,4,ten
dft_hex0x12_ten,No desciption,dft_hex0x12,DFTtm8t,0x54,0x12,0x01,7,ten
"XWALTZ,XceleraCORE,XSEQUENCER,XSEQUENCER",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
950364d7,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x02,0,tdi
4d227e72,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x02,1,tdi
0721e5d9,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x02,2,tdi
445acf01,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x02,3,tdi
70525239,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x02,4,tdi
3bd9bacc,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x02,5,tdi
29fa69a5,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x02,6,tdi
2958f818,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x02,7,tdi
950364d7,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x01,0,ten
4d227e72,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x01,1,ten
0721e5d9,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x01,2,ten
445acf01,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x01,3,ten
70525239,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x01,4,ten
3bd9bacc,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x01,5,ten
29fa69a5,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x01,6,ten
2958f818,No desciption,dft_hex0x13,DFTtm8d,0x54,0x13,0x01,7,ten
9d829c39,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x02,0,tdi
9ef032e9,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x02,1,tdi
e8d90cd0,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x02,2,tdi
4c7ada73,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x02,3,tdi
6cd23b02,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x02,4,tdi
b0,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x02,7,tdi
9d829c39,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x01,0,ten
9ef032e9,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x01,1,ten
e8d90cd0,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x01,2,ten
4c7ada73,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x01,3,ten
6cd23b02,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x01,4,ten
dft_hex0x14_ten,No desciption,dft_hex0x14,DFTtm8d,0x54,0x14,0x01,7,ten
"XWALTZ,XceleraCORE,XSERVICE,XDEBUG",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
a6a0ac97,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x02,0,TAI
a0,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x02,7,TAI
cd882763,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x02,0,tdi
742857bf,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x02,1,tdi
ec5776d4,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x02,2,tdi
1955111b,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x02,3,tdi
a0,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x02,7,tdi
cd882763,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x01,0,ten
742857bf,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x01,1,ten
a6a0ac97,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x01,2,ten
ec5776d4,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x01,3,ten
1955111b,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x01,4,ten
dft_hex0x15_ten,No desciption,dft_hex0x15,DFTtm8,0x54,0x15,0x01,7,ten
"XWALTZ,XceleraCORE,XSERVICE,XMAIN",,,,,,,,
Name,Function,Instance,DFT Type,Slave,TMA,Sub,Bit,Type
REF_553d3e5b,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x02,0,TAI
REFBG_553d3e5b,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x02,1,TAI
VBIAS_23bb219c,No desciption,dft_hex0x16,DFTtm8,0x54,0x16,0x02,2,TAI
